time_step,start,end,vehicle,distance,kind
2,917,783,V61,5.8083597500151045,shortage
3,917,783,V62,5.8083597500151045,shortage
4,917,783,V63,5.8083597500151045,shortage
5,917,783,V30,5.8083597500151045,shortage
6,917,783,V65,5.8083597500151045,shortage
7,917,783,V66,5.8083597500151045,shortage
8,917,783,V67,5.8083597500151045,shortage
9,917,783,V68,5.8083597500151045,shortage
10,917,783,V69,5.8083597500151045,shortage
10,1229,1276,V25,3.959637309104105,shortage
10,1106,1068,V41,4.880745078525951,shortage
11,783,917,V23,5.8083597500151045,predictive
11,783,917,V29,5.8083597500151045,predictive
11,1106,1068,V42,4.880745078525951,shortage
11,1106,1068,V322,4.880745078525951,shortage
11,917,783,V70,5.8083597500151045,shortage
11,1229,1276,V583,3.959637309104105,shortage
11,1102,1106,V33,3.80171314717607,shortage
12,783,917,V30,5.8083597500151045,predictive
12,783,917,V32,5.8083597500151045,predictive
12,1229,1276,V21,3.959637309104105,shortage
12,1229,1276,V584,3.959637309104105,shortage
12,1229,1276,V585,3.959637309104105,shortage
12,1106,1068,V33,4.880745078525951,shortage
12,1106,1068,V425,4.880745078525951,shortage
12,1106,1068,V426,4.880745078525951,shortage
12,917,783,V72,5.8083597500151045,shortage
12,1102,1106,V244,3.80171314717607,shortage
12,931,849,V109,4.4061387562478425,shortage
12,783,834,V61,7.689481736045675,overflow
12,783,834,V62,7.689481736045675,overflow
12,783,882,V63,12.561839638690564,overflow
12,783,834,V65,7.689481736045675,overflow
12,783,882,V66,12.561839638690564,overflow
12,783,834,V67,7.689481736045675,overflow
12,783,965,V68,10.498093903671007,overflow
12,783,882,V69,12.561839638690564,overflow
13,783,917,V34,5.8083597500151045,predictive
13,783,917,V70,5.8083597500151045,predictive
13,783,917,V71,5.8083597500151045,predictive
13,1229,1276,V589,3.959637309104105,shortage
13,1229,1276,V590,3.959637309104105,shortage
13,1229,1276,V591,3.959637309104105,shortage
13,1229,1276,V592,3.959637309104105,shortage
13,1229,1276,V593,3.959637309104105,shortage
13,1106,1068,V107,4.880745078525951,shortage
13,1106,1068,V244,4.880745078525951,shortage
13,1106,1068,V427,4.880745078525951,shortage
13,1106,1068,V428,4.880745078525951,shortage
13,1106,1068,V429,4.880745078525951,shortage
13,931,849,V115,4.4061387562478425,shortage
13,931,849,V116,4.4061387562478425,shortage
13,917,783,V30,5.8083597500151045,shortage
13,1102,1106,V326,3.80171314717607,shortage
13,783,931,V481,18.3740064075405,overflow
13,783,1229,V482,18.841160835534616,overflow
13,783,931,V483,18.3740064075405,overflow
13,783,1229,V484,18.841160835534616,overflow
13,783,931,V485,18.3740064075405,overflow
13,783,965,V72,10.498093903671007,overflow
13,783,1229,V486,18.841160835534616,overflow
13,783,931,V487,18.3740064075405,overflow
13,783,965,V184,10.498093903671007,overflow
13,783,1229,V488,18.841160835534616,overflow
13,783,931,V489,18.3740064075405,overflow
13,783,834,V190,7.689481736045675,overflow
14,783,917,V28,5.8083597500151045,predictive
14,783,917,V36,5.8083597500151045,predictive
14,783,917,V105,5.8083597500151045,predictive
14,1106,1068,V323,4.880745078525951,shortage
14,1106,1068,V326,4.880745078525951,shortage
14,1106,1068,V431,4.880745078525951,shortage
14,1106,1068,V432,4.880745078525951,shortage
14,1106,1068,V433,4.880745078525951,shortage
14,1106,1068,V434,4.880745078525951,shortage
14,1229,1276,V45,3.959637309104105,shortage
14,1229,1276,V325,3.959637309104105,shortage
14,1229,1276,V598,3.959637309104105,shortage
14,1229,1276,V599,3.959637309104105,shortage
14,1229,1276,V600,3.959637309104105,shortage
14,931,849,V119,4.4061387562478425,shortage
14,931,849,V120,4.4061387562478425,shortage
14,931,849,V181,4.4061387562478425,shortage
14,917,783,V29,5.8083597500151045,shortage
14,1102,1106,V328,3.80171314717607,shortage
14,783,1229,V491,18.841160835534616,overflow
14,783,1229,V492,18.841160835534616,overflow
15,783,917,V40,5.8083597500151045,predictive
15,783,917,V102,5.8083597500151045,predictive
15,783,917,V106,5.8083597500151045,predictive
15,1229,1276,V25,3.959637309104105,shortage
15,1106,1276,V328,4.836798739645476,shortage
15,1106,1276,V438,4.836798739645476,shortage
15,1102,1276,V331,4.836798739646007,shortage
15,1102,1276,V332,4.836798739646007,shortage
15,1102,1276,V333,4.836798739646007,shortage
15,855,1068,V81,5.87594370452583,shortage
15,855,1068,V82,5.87594370452583,shortage
15,855,1068,V83,5.87594370452583,shortage
15,855,1068,V84,5.87594370452583,shortage
15,855,1068,V85,5.87594370452583,shortage
15,855,1068,V86,5.87594370452583,shortage
15,931,849,V263,4.4061387562478425,shortage
15,855,849,V87,5.706192977162224,shortage
15,855,849,V88,5.706192977162224,shortage
15,917,783,V23,5.8083597500151045,shortage
15,1102,1106,V334,3.80171314717607,shortage
15,672,508,V502,8.81713559460697,shortage
16,783,917,V30,5.8083597500151045,predictive
16,783,917,V31,5.8083597500151045,predictive
16,783,917,V44,5.8083597500151045,predictive
16,1102,1276,V335,4.836798739646007,shortage
16,1102,1276,V336,4.836798739646007,shortage
16,1102,1276,V337,4.836798739646007,shortage
16,1102,1276,V338,4.836798739646007,shortage
16,1102,1276,V339,4.836798739646007,shortage
16,1102,1276,V340,4.836798739646007,shortage
16,855,1068,V89,5.87594370452583,shortage
