hour_of_day,day_type,predicted_speed_kmh,n_bins_used
0,offday,21.723992792765294,15
0,workday,21.698580503463745,40
1,offday,22.030773980276926,14
1,workday,21.97532768249512,40
2,offday,22.466347013201037,14
2,workday,22.360329818725585,40
3,offday,23.4278347832816,14
3,workday,23.167491149902343,40
4,offday,24.09331090109689,14
4,workday,25.638195705413818,40
5,offday,26.611785888671875,14
5,workday,29.08460640907288,40
6,offday,24.981555938720703,14
6,workday,20.05115088687331,40
7,offday,21.88334233420236,14
7,workday,13.483981350543388,40
8,offday,19.87892259870257,14
8,workday,13.285702451948604,40
9,offday,18.094117982046946,14
9,workday,15.465191764230743,40
10,offday,17.18102809361049,14
10,workday,16.74143056869507,40
11,offday,17.300126756940568,14
11,workday,17.368930912017824,40
12,offday,17.53548785618373,14
12,workday,17.556037521362306,40
13,offday,16.771368639809744,14
13,workday,16.20487599372864,40
14,offday,16.141354901450022,14
14,workday,15.3530526638031,40
15,offday,15.96217679977417,14
15,workday,15.288990330696103,40
16,offday,16.385029588426864,14
16,workday,14.72816207408905,40
17,offday,16.466258117130824,14
17,workday,12.525587387277817,40
18,offday,17.141751970563615,14
18,workday,13.441671942695347,40
19,offday,17.954388890947616,14
19,workday,16.9906329870224,40
20,offday,18.092213903154647,14
20,workday,18.109354734420776,40
21,offday,18.635631561279297,14
21,workday,19.17678284645081,40
22,offday,20.09931836809431,14
22,workday,20.87981839179993,40
23,offday,21.49630177815755,15
23,workday,22.11592569351196,40
